Cod.;Giocatore;Squadra;Ruolo;Quotazione
715;GILMOUR Billy;NAPOLI;C;15
577;GINEITIS Gvidas;TORINO;C;18
730;GIOIELLI Francesco;NAPOLI;C;1
578;GONZALEZ Joan;LECCE;C;15
745;GOURNA-DOUATH Lucas;ROMA;C;13
579;GRASSI Alberto;EMPOLI;C;11
683;GRAZIANI Leonardo;ROMA;C;1
580;GUENDOUZI Matteo;LAZIO;C;41
581;HAAS Nicolas;EMPOLI;C;13
582;HAINAUT Antoine;PARMA;C;8
583;HARROUI Abdou;VERONA;C;22
718;HASA Luis;NAPOLI;C;3
688;HELGASON Thorir;LECCE;C;14
584;HENDERSON Liam;EMPOLI;C;14
585;HERNANI -;PARMA;C;24
586;HORVATH Krisztofer;TORINO;C;3
735;IBRAHIMOVIC Arijon;LAZIO;C;10
587;ILIC Ivan;TORINO;C;24
709;ILING-JUNIOR Samuel;BOLOGNA;C;20
588;ILKHAN Emirhan;TORINO;C;6
589;INFANTINO Gino;FIORENTINA;C;7
590;JAGIELLO Filip;GENOA;C;11
591;JAJALO Mato;VENEZIA;C;9
592;JANKTO Jakub;CAGLIARI;C;13
691;JOAO COSTA -;ROMA;C;1
593;KABA Mohamed;LECCE;C;10
693;KARLSTROM Jesper;UDINESE;C;19
708;KASA Lior;GENOA;C;4
689;KASTANOS Grigoris;VERONA;C;17
712;KEITA Mandela;PARMA;C;11
594;KERRIGAN Liam;COMO;C;9
595;KOFOD ANDERSEN Magnus;VENEZIA;C;17
596;KONE Ben Lhassine;COMO;C;6
717;KONE Manu;ROMA;C;33
597;KOOPMEINERS Teun;JUVENTUS;C;43
598;KOSTIC Filip;JUVENTUS;C;28
599;KOURFALIDIS Christos;CAGLIARI;C;4
600;KOVALENKO Viktor;ATALANTA;C;15
601;LAZOVIC Darko;VERONA;C;18
602;LE FEE Enzo;ROMA;C;20
603;LELLA Nunzio;VENEZIA;C;9
684;LIBERALI Mattia;MILAN;C;2
604;LINETTY Karol;TORINO;C;18
605;LISTKOWSKI Marcin;LECCE;C;6
606;LOBOTKA Stanislav;NAPOLI;C;38
607;LOCATELLI Manuel;JUVENTUS;C;36
608;LOFTUS-CHEEK Ruben;MILAN;C;30
609;LOVRIC Sandi;UDINESE;C;33
610;MACHIN José;MONZA;C;11
611;MAKOUMBOU Antoine;CAGLIARI;C;17
612;MALEH Youssef;EMPOLI;C;12
613;MALINOVSKIY Ruslan;GENOA;C;26
614;MANDRAGORA Rolando;FIORENTINA;C;34
704;MANZONI Alberto;ATALANTA;C;1
685;MARCHWINSKI Filip;LECCE;C;16
615;MARCOS ANTONIO -;LAZIO;C;11
616;MARIN Razvan;CAGLIARI;C;30
720;MARTINS Kevin;MONZA;C;1
722;MASINI Patrizio;GENOA;C;13
687;MAZZITELLI Luca;COMO;C;24
721;MCJANNET Ed;LECCE;C;1
617;MCKENNIE Weston;JUVENTUS;C;30
710;MCTOMINAY Scott;NAPOLI;C;56
618;MELEGONI Filippo;GENOA;C;6
619;MESSIAS Junior;GENOA;C;25
620;MIRANCHUK Aleksey;ATALANTA;C;31
621;MIRETTI Fabio;GENOA;C;20
622;MKHITARYAN Henrikh;INTER;C;46
623;MORO Nikola;BOLOGNA;C;18
624;MUSAH Yunus;MILAN;C;21
742;NDOUR Cher;FIORENTINA;C;15
746;NIASSE Cheikh;VERONA;C;5
625;NICOLUSSI CAVIGLIA Hans;VENEZIA;C;23
747;ONANA Jean;GENOA;C;10
738;ONDREJKA Jacob;PARMA;C;13
626;ORISTANIO Gaetano Pio;VENEZIA;C;22
627;OUDIN Remi;LECCE;C;16
726;OWUSU Augusto;JUVENTUS;C;1
737;PAFUNDI Simone;UDINESE;C;3
628;PAGANO Riccardo;ROMA;C;1
727;PAPADOPOULOS Christos;JUVENTUS;C;1
629;PAREDES Leandro;ROMA;C;34
630;PASALIC Mario;ATALANTA;C;44
631;PAYERO Martin;UDINESE;C;22
706;PAZ Nico;COMO;C;37
632;PEJICIC David;UDINESE;C;1
633;PELLEGRINI Lorenzo;ROMA;C;38
729;PERCIUN Sergiu;TORINO;C;1
634;PEREIRO Gaston;GENOA;C;9
740;PEREZ Kike;VENEZIA;C;9
707;PERRONE Maximo;COMO;C;13
635;PESSINA Matteo;MONZA;C;24
636;PIERRET Balthazar;LECCE;C;10
637;PISILLI Niccolo;ROMA;C;20
731;PLICCO Elia;PARMA;C;1
638;POBEGA Tommaso;BOLOGNA;C;21
639;PORTANOVA Manolo;GENOA;C;13
640;PRASZELIK Mateusz;VERONA;C;4
641;PRATI Matteo;CAGLIARI;C;13
642;PYYHTIA Niklas;BOLOGNA;C;3
555;QUINA Domingos;UDINESE;C;3
643;RADONJIC Nemanja;TORINO;C;17
644;RAFIA Hamza;LECCE;C;10
645;RAMADANI Ylber;LECCE;C;15
646;RAZI Naj;COMO;C;1
647;REIJNDERS Tijjani;MILAN;C;54
648;RICCI Samuele;TORINO;C;37
698;RICHARDSON Amir;FIORENTINA;C;21
